Name,Geometry,Address
Seh Ong Charity,"1.3408696,103.7507826",560 Bukit Batok Street 23
Sembawang God of Wealth Temple,"1.4608277,103.8089243",28 Admiralty Street
Sembawang Tian Ho Keng,"1.4609967,103.8092869",24 Admiralty Street
Seu Teck Sean Tong Yiang Sin Sia Temple,"1.3328728,103.9314581",335 Bedok North Ave 3
Shan Fook Tong Temple,"1.3124691,103.8736054","5 Lor 7 Geylang, Singapore 388789"
Shang Di Miao Chai Kong Temple,"1.4395085,103.7807128",10 Marsiling Industrial Estate Road 3
Sheng Hong Temple,"1.3209109,103.7484736",300 Pandan Gardens
Shi Niu Dong Temple,"1.3327461,103.8972595",33 Geylang Lorong 24
Shun Xi Gong Shui Chi Lin,"1.4342522,103.8393185",19 Yishun Avenue 9
Si Dao Feng Jiao Temple,"1.3123056,103.8758602",638 Lorong 3 Geylang
Sian Keng Tong Temple,"1.3174316,103.9040573",216 Changi Road
Siang Cho Keong Temple,"1.2799319,103.8442926",66 Amoy Street
Sim Choon Huat Temple,"1.3265633,103.8638593",17D Moonstone Lane
Sim Poh Seng Temple,"1.312333,103.9034649",110 Koon Seng Road
Singapore Buddhist Mission,"1.3274794,103.8645929",9 Ruby Lane
Singapore Buddhist Youth Mission,"1.3230177,103.7596053",3306 Commonwealth Avenue West
Singapore Chin Leng Keng,"1.2863725,103.8141171",98T Redhill Close
Singapore Han Clan Temple,"1.3157378,103.8469964",2 Derbyshire Road
Singapore Soka Centre (Geylang),"1.3106585,103.8786883",57 Lorong 18 Geylang
Soka Culture Centre,"1.3475623,103.7019043",8 Jurong West Street 76
Soka Youth Centre,"1.2770594,103.7887353",156 Pasir Panjang Road
Soon Leng Temple,"1.3916296,103.740362",9 Choa Chu Kang Street 51
Soon San Teng Temple,"1.3278294,103.916211",42 Senang Crescent
Soon Thian Keing Temple,"1.3147971,103.8835057",19 Lorong 29 Geylang
Sri Lankaramaya Buddhist Temple,"1.3268337,103.8608863",30c St. Michael's Road
Swatow Sia Temple,"1.3141909,103.8875764",5 Lorong 40 Geylang
Swee Kow Kuan Temple,"1.3803183,103.8391289",46 Ang Mo Kio Street 61
Sze Cheng Keng Temple,"1.3327409,103.8973943",16 Ubi Road 4 #02-01
Tai Kak Seah Temple,"1.3130075,103.9102845",86 Lorong K Telok Kurau
Tampines Soka Centre,"1.3444544,103.9408843",5 Tampines Street 92
